1,SDC,1.0288086984746966e-09
2,Masked,0
3,DUE,1.0
4,SDC,4.642450771517457e-09
5,SDC,4.776129428477428e-09
6,SDC,1.0692654714506288e-06
7,DUE,1.0
8,SDC,2.2798949410387888e-06
9,DUE,1.0
10,SDC,0.00667064014082184
11,SDC,1.7929974046080417e-10
12,SDC,5.5173295679862625e-11
13,SDC,3.3593324243387135e-09
14,SDC,3.937936132055117e-06
15,Masked,0
16,SDC,0.00023616826682064667
17,SDC,6.1190822652621244e-06
18,SDC,8.663814609228998e-06
19,DUE,1.0
20,Masked,0
21,SDC,9.96007437496087e-07
22,Masked,0
23,Masked,0
24,SDC,0.013589646661980296
25,DUE,1.0
26,SDC,0.00016169057219818692
27,DUE,1.0
28,SDC,0.00034996424435405384
29,Masked,0
30,SDC,0.00017598080787508828
31,SDC,6.893032135138286e-09
32,Masked,0
33,SDC,0.0025666780879900096
34,SDC,1.4813326480795971e-06
35,DUE,1.0
36,DUE,1.0
37,Masked,0
38,SDC,7.5553180941447775e-06
39,SDC,2.393163317146162e-07
40,Masked,0
41,SDC,3.4298304416083586e-08
42,SDC,3.168977318834392e-05
43,SDC,1.834487597681216e-05
44,SDC,0.0001129548070549822
45,SDC,0.003186782321286813
46,Masked,0
47,SDC,8.943837522320427e-07
48,SDC,0.00025168016898454126
49,SDC,0.012363046273328536
50,SDC,0.0001706638129563624
51,SDC,1.1781366501543156e-05
52,SDC,2.78232192179375e-08
53,DUE,1.0
54,SDC,2.885955009755514e-07
55,SDC,1.5515658980366677e-06
56,SDC,1.213252938791072e-08
57,SDC,3878.9691206741236
58,SDC,5.932184368415116e-05
59,SDC,1.0391631534818955e-08
60,SDC,1.7327327662631954e-08
61,DUE,1.0
62,SDC,0.04128458026195486
63,SDC,141.65778829497603
64,SDC,1.4454691150004403e-06
65,SDC,1.2199663189801916e-05
66,SDC,5.6210941898751334e-08
67,SDC,3.2526672369698328e-06
68,SDC,5.152970296306117e-05
69,Masked,0
70,SDC,5.135639363794104e-05
71,SDC,0.020470646749992025
72,SDC,7.255538540482575e-08
73,SDC,57317932.70127474
74,SDC,17459181.686513443
75,SDC,1.1824944689118032e-06
76,SDC,2.1037086502166543e-08
77,SDC,6.301467828650481e-08
78,Masked,0
79,SDC,2.638401524734796e-10
80,Masked,0
81,SDC,0.05159773047692213
82,SDC,1.2202371139984943e-08
83,SDC,0.008912227032659033
84,DUE,1.0
85,SDC,1.2673243879275395e-05
86,DUE,1.0
87,SDC,6.0233773276127833e-05
88,DUE,1.0
89,DUE,1.0
90,SDC,0.0001065395579306001
91,SDC,1.7976693817375426e-08
92,SDC,2.0497915874334896e-08
93,SDC,1.1861705839998776e-05
94,SDC,1.4582236335311214e-08
95,DUE,1.0
96,SDC,1.4038157208092539e-06
97,DUE,1.0
98,DUE,1.0
99,DUE,1.0
100,Masked,0
