1,SDC,nan
2,SDC,1.1658375708827218e-09
3,SDC,1.3032168847123611e-07
4,SDC,1.0726727591930843e-05
5,DUE,1.0
6,DUE,1.0
7,Masked,0
8,SDC,6.860325224769465e-08
9,SDC,4.5279809932463256e-10
10,SDC,nan
11,DUE,1.0
12,SDC,4.855306603521806
13,DUE,1.0
14,DUE,1.0
15,SDC,5.8117792883628856e-05
16,SDC,5.951638829041766e-06
17,SDC,1.9083762462434633e-06
18,SDC,1.1730344535112015e-06
19,DUE,1.0
20,SDC,1.964513979718198e-10
21,SDC,0.0001409461636321296
22,DUE,1.0
23,DUE,1.0
24,SDC,7.701415827593129e-08
25,SDC,1.3638481398455757e-05
26,Masked,0
27,SDC,1.020912835722052e-09
28,DUE,1.0
29,SDC,1.3052613266012053e-06
30,SDC,1122875.9645827655
31,SDC,2.5972784947974242e-05
32,SDC,3.362560150498793e-09
33,SDC,3.657283630385997e-09
34,SDC,6.73288232814702e-07
35,SDC,1.6013644428084675e-06
36,DUE,1.0
37,SDC,4.2432935620279924e-05
38,DUE,1.0
39,Masked,0
40,DUE,1.0
41,SDC,0.04258853064594013
42,SDC,8.281907249251687e-05
43,SDC,1.5801042108623363e-07
44,SDC,0.0002325713835649457
45,DUE,1.0
46,SDC,0.00015023950002243677
47,SDC,1.2755040822619512e-07
48,SDC,nan
49,Masked,0
50,SDC,8.522751112191101e-10
51,DUE,1.0
52,Masked,0
53,DUE,1.0
54,SDC,nan
55,DUE,1.0
56,SDC,0.004057361824333791
57,SDC,9.022876825403645e-11
58,SDC,1.9082365533926767e-05
59,SDC,9.792094076563353e-06
60,Masked,0
61,SDC,6.219044366309551e-06
62,SDC,5.117560215171337e-09
63,SDC,2.763351107338149e-09
64,SDC,1.2915226713451837e-10
65,Masked,0
66,DUE,1.0
67,DUE,1.0
68,SDC,8.136477197714047e-07
69,SDC,7.626955472893421e-05
70,SDC,1.7555669268429657e-07
71,SDC,8.205835342799243e-10
72,SDC,1.3176922249298068e-08
73,DUE,1.0
74,Masked,0
75,SDC,2.1229028704417115e-05
76,SDC,1.4974771586786477e-09
77,SDC,2.547226013198639e-05
78,SDC,8.760495924088318e-10
79,DUE,1.0
80,Masked,0
81,Masked,0
82,DUE,1.0
83,SDC,1.4482938351428507e-05
84,Masked,0
85,SDC,1.2208308278939604e-07
86,DUE,1.0
87,SDC,2.4159611385312695e-08
88,SDC,1.8417767883692386e-10
89,SDC,0.02846325182195762
90,Masked,0
91,SDC,1.2285556408795737e-08
92,SDC,125314.46997417284
93,SDC,1.1418737507112025e-09
94,SDC,2.046029696786971e-08
95,SDC,1.0229526786754979e-07
96,DUE,1.0
97,SDC,6.822041068448367e-07
98,Masked,0
99,SDC,6.252464791849085e-08
100,SDC,4.135092086403671e-08
