28 1,0,0,0,0,0,0,0,0,0,1,64,0
29 1,0,0,0,0,0,0,0,0,0,1,64,0
30 1,0,0,0,0,0,0,0,0,0,1,64,0
31 1,0,0,0,0,0,0,0,0,0,0,32,0
32 1,0,0,0,0,0,0,0,0,0,0,32,0
33 1,0,0,0,0,0,0,0,0,0,0,32,0
34 3,0,0,0,0,0,0,0,0,0,0,32,0
35 1,0,0,0,0,0,0,0,0,0,0,32,0
36 1,0,0,0,0,0,0,0,0,0,0,32,0
37 1,0,0,0,0,0,0,0,0,0,0,32,0
38 3,0,0,0,0,0,0,0,0,0,0,32,0
39 2,0,0,0,0,1,0,0,0,0,0,32,0
40 2,0,0,0,0,1,0,0,0,0,0,32,0
41 2,0,0,0,0,0,1,0,0,0,0,1,0
42 1,0,0,0,0,0,0,0,0,0,0,1,0
46 1,0,0,0,0,0,0,0,0,0,0,64,0
47 1,0,0,0,0,0,0,0,0,0,0,64,0
48 1,0,0,0,0,0,0,0,0,0,0,64,0
49 2,0,0,0,0,0,0,0,1,0,0,32,0
50 2,1,0,0,0,0,0,0,0,0,0,32,0
51 2,0,0,1,0,0,0,0,0,0,0,32,0
52 2,1,0,0,0,0,0,0,0,0,0,64,0
53 1,0,0,0,0,0,0,0,0,0,1,32,0
54 1,0,0,0,0,0,0,0,0,0,0,32,0
57 2,1,0,0,0,0,0,0,0,0,0,32,0
58 2,0,0,1,0,0,0,0,0,0,0,32,0
59 2,1,0,0,0,0,0,0,0,0,0,64,0
60 2,0,0,0,0,0,0,0,1,0,0,32,0
61 2,1,0,0,0,0,0,0,0,0,0,32,0
62 2,0,0,1,0,0,0,0,0,0,0,32,0
63 2,1,0,0,0,0,0,0,0,0,0,64,0
64 1,0,0,0,0,0,0,0,0,0,1,32,0
65 1,0,0,0,0,0,0,0,0,0,1,32,0
66 3,0,0,0,1,0,0,0,0,0,0,32,0
67 1,0,0,0,0,0,0,0,0,0,0,32,0
68 1,0,0,0,0,0,0,0,0,0,1,32,0
69 1,0,0,0,0,0,0,0,0,0,1,32,0
70 3,0,0,0,1,0,0,0,0,0,0,32,0
71 1,0,0,0,0,0,0,0,0,0,0,32,0
72 1,0,0,0,0,0,0,0,0,0,1,32,0
73 1,0,0,0,0,0,0,0,0,0,1,32,0
74 3,0,0,0,1,0,0,0,0,0,0,32,0
75 1,0,0,0,0,0,0,0,0,0,0,32,0
76 1,0,0,0,0,0,0,0,0,0,1,32,0
77 1,0,0,0,0,0,0,0,0,0,1,32,0
78 3,0,0,0,1,0,0,0,0,0,0,32,0
79 1,0,0,0,0,0,0,0,0,0,0,32,0
80 1,0,0,0,0,0,0,0,0,0,1,32,0
81 1,0,0,0,0,0,0,0,0,0,1,32,0
82 3,0,0,0,1,0,0,0,0,0,0,32,0
83 1,0,0,0,0,0,0,0,0,0,0,32,0
84 1,0,0,0,0,0,0,0,0,0,1,32,0
85 1,0,0,0,0,0,0,0,0,0,1,32,0
86 3,0,0,0,1,0,0,0,0,0,0,32,0
87 1,0,0,0,0,0,0,0,0,0,0,32,0
88 1,0,0,0,0,0,0,0,0,0,1,32,0
89 1,0,0,0,0,0,0,0,0,0,1,32,0
90 3,0,0,0,1,0,0,0,0,0,0,32,0
91 1,0,0,0,0,0,0,0,0,0,0,32,0
92 1,0,0,0,0,0,0,0,0,0,1,32,0
93 2,0,0,0,0,1,0,0,0,0,0,32,0
94 2,0,0,0,0,1,0,0,0,0,0,32,0
95 2,0,0,0,0,1,0,0,0,0,0,32,0
96 2,0,0,0,0,0,1,0,0,0,0,1,0
