28	0
29	0
30	0
31	0.027777778
38	0.9375
39	1
40	1
41	0.976190476
46	0.319148936
47	0.444444444
48	0.409090909
49	0.621621622
50	0.71875
51	0.235294118
52	0.361111111
53	0.461538462
54	0.108108108
57	0.611111111
58	0.4
59	0.365853659
60	0.595238095
61	0.522727273
62	0.282051282
63	0.4375
64	0.488372093
65	0.653846154
66	0.795918367
68	0.674418605
69	0.525
70	0.729166667
72	0.394736842
73	0.641025641
74	0.7
76	0.472222222
77	0.566666667
78	0.648648649
80	0.575
81	0.538461538
82	0.782608696
84	0.638297872
85	0.576923077
86	0.716981132
88	0.577777778
89	0.581395349
90	0.608695652
92	0.55
93	0.477272727
94	0.763157895
96	0.02173913
97	1
118	0
119	0
120	0
121	0
128	0.951219512
129	1
130	1
131	1
136	0.128205128
137	0.210526316
138	0.333333333
139	0.605263158
140	0.416666667
141	0.166666667
142	0.272727273
143	0
144	0.090909091
147	0.617647059
148	0.261904762
149	0.227272727
150	0.555555556
151	0.552631579
152	0.346938776
153	0.244444444
154	0.5
155	0.615384615
156	0.816326531
158	0.590909091
159	0.673913043
160	0.743589744
162	0.5625
163	0.634146341
164	0.777777778
166	0.512820513
167	0.659090909
168	0.872340426
170	0.814814815
171	0.75
172	0.80952381
174	0.714285714
175	0.84375
176	0.875
178	0.679245283
179	0.666666667
180	0.891304348
182	0.75
183	0.558823529
184	0.857142857
186	0.1
187	1
