54,0.12
76,0.4634146341463415
155,0.6274509803921569
53,0.4222222222222222
179,0.717391304347826
70,0.7457627118644068
150,0.5853658536585366
160,0.7547169811320755
50,0.6341463414634146
31,0.02040816326530612
141,0.2222222222222222
52,0.30434782608695654
151,0.5660377358490566
184,0.86
61,0.559322033898305
46,0.2909090909090909
39,1.0
82,0.7457627118644068
120,0.0
128,0.92
89,0.5454545454545454
90,0.639344262295082
180,0.875
176,0.8245614035087719
186,0.10256410256410256
59,0.4074074074074074
118,0.0
88,0.509090909090909
57,0.5714285714285714
137,0.1875
148,0.23529411764705882
167,0.6607142857142857
175,0.7857142857142857
51,0.2222222222222222
29,0.0
156,0.8032786885245902
68,0.6949152542372882
58,0.34
96,0.017543859649122806
147,0.6190476190476191
138,0.3404255319148936
63,0.4186046511627907
178,0.6721311475409836
77,0.6
47,0.41025641025641024
182,0.7254901960784313
142,0.2692307692307692
170,0.8125
73,0.6538461538461539
66,0.7543859649122807
72,0.3958333333333333
84,0.6415094339622641
144,0.1111111111111111
140,0.38
97,1.0
130,1.0
183,0.6346153846153846
30,0.0
171,0.7
174,0.6545454545454545
187,1.0
28,0.0
81,0.6
136,0.125
164,0.7297297297297297
166,0.5576923076923077
48,0.37037037037037035
41,0.9803921568627451
65,0.65
163,0.6481481481481481
159,0.6724137931034483
172,0.8076923076923077
131,1.0
139,0.5652173913043478
92,0.56
158,0.5918367346938775
49,0.627906976744186
62,0.25
129,1.0
40,1.0
143,0.0
154,0.5476190476190477
80,0.52
86,0.6779661016949152
149,0.21568627450980393
153,0.24074074074074073
64,0.5490196078431373
94,0.7708333333333334
162,0.6071428571428571
119,0.0
60,0.58
74,0.75
93,0.48
121,0.0
78,0.6666666666666666
38,0.9230769230769231
168,0.8524590163934426
69,0.52
85,0.5454545454545454
152,0.3269230769230769
